contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,20,22,23,25,26,29,56,60,63,72,73,74,75,76,78,79,80,82,83,84,85,100,102,103,108,114,120,146,147,153,154,214,215,230,231,233,321,322,323,324,326,327,328,338,374,375,395,396,458,468,sequenceId,possessionId,keyPass,140,141,318,210,6,9,24,107,64,121,136,216,217,280,281,282,472,65,77,89,160,254,353,390,19,61,62,69,81,86,138,274,139,391,101,113,87,192,133,276,275,21,28,137,273
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851850563,114,15,1,14,46,J. Wielzen,1id5av4i7p6tmhf1vuigvlmvo,1,81.2,73.8,2025-09-27T12:16:47.829,2025-09-27T12:18:01,1.0,"{""id"": 5934604711, ""qualifierId"": 18}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,NaN,true,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,49.9,19,NaN,NaN,NaN,84.9,69.1,NaN,true,NaN,NaN,98.6,53.8,156,0.029739605262875557,0.0,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2851845545,126,15,1,10,18,R. Arabaci,7h02v4ymnko5fh01iylbh34es,1,80.2,34.2,2025-09-27T12:12:19.263,2025-09-27T12:13:30,1.0,"{""id"": 5934576731, ""qualifierId"": 22}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,47.5,19,NaN,NaN,NaN,83.8,36.6,NaN,true,NaN,NaN,98.5,48.6,419,0.03378835320472717,0.0,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2851846801,137,16,1,11,20,K. Grabovskis,3u184ybkonoa5ubxjzoy06ntg,1,88.4,54.6,2025-09-27T12:13:21.902,2025-09-28T12:29:04,NaN,"{""id"": 5934583941, ""qualifierId"": 17}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,51.2,29.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,94.9,51.6,NaN,0.37144291400909424,0.660384476184845,NaN,NaN,1,1,true,NaN,2025-09-27 13:13:21.147,11:20.104,4.5,47.7,true,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851857993,174,13,1,22,33,S. Reese,4bkqvwlmbwul0s8lbbq6mifp,1,94.0,47.9,2025-09-27T12:24:34.960,2025-09-27T12:25:48,1.0,"{""id"": 5939975655, ""qualifierId"": 17}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.5,13.9,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,99.3,48.0,NaN,0.14200913906097412,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851875827,366,14,1,41,12,B. Zjajo,amfro1vgaqpdg569xjk2h28ve,1,85.6,47.9,2025-09-27T12:43:13.214,2025-09-27T12:44:34,1.0,"{""id"": 5934746409, ""qualifierId"": 231, ""value"": ""48.9""}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.8,40.5,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,97.8,48.9,NaN,0.20816242694854736,0.0,NaN,true,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851875903,367,13,1,41,15,J. Wielzen,1id5av4i7p6tmhf1vuigvlmvo,1,87.7,62.6,2025-09-27T12:43:16.838,2025-09-27T12:44:48,NaN,"{""id"": 5934743653, ""qualifierId"": 327, ""value"": ""3""}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,42.2,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.9,52.5,NaN,0.10888233780860901,0.0,true,NaN,1,3,true,366,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2851867163,381,15,1,33,35,K. Grabovskis,3u184ybkonoa5ubxjzoy06ntg,1,76.9,38.7,2025-09-27T12:35:36.074,2025-09-27T12:36:49,1.0,"{""id"": 5934695613, ""qualifierId"": 22}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,49.7,19,NaN,NaN,NaN,84.3,42.2,NaN,NaN,NaN,true,97.6,49.1,254,0.02646009251475334,0.0,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851909617,521,15,2,57,46,S. Reese,4bkqvwlmbwul0s8lbbq6mifp,1,92.0,37.4,2025-09-27T13:16:13.378,2025-09-27T14:22:04,1.0,"{""id"": 5935423987, ""qualifierId"": 103, ""value"": ""19""}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,46.8,19,NaN,NaN,NaN,93.0,38.6,NaN,true,NaN,NaN,99.3,47.5,591,0.01019202545285225,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851910105,524,15,2,58,15,S. Reese,4bkqvwlmbwul0s8lbbq6mifp,1,91.2,46.2,2025-09-27T13:16:41.937,2025-09-27T14:36:09,1.0,"{""id"": 4611686018471709821, ""qualifierId"": 322, ""value"": ""0.0""}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,48.0,19,NaN,NaN,NaN,96.5,47.3,NaN,true,NaN,NaN,100,48.4,593,0.045868318527936935,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2851910131,525,13,2,58,17,J. Linnet,19gornjqd7f2ugeg8mg0gs4q,1,91.1,49.7,2025-09-27T13:16:44.667,2025-09-27T13:18:04,NaN,"{""id"": 5935009319, ""qualifierId"": 103, ""value"": ""20.8""}",cejrkd7ur484rbjfogvdou2vo,B 93 vs Middelfart,1_Division,2025-09-27,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.5,20.8,NaN,true,NaN,94.6,50.0,true,NaN,NaN,NaN,99.0,49.8,NaN,0.05081687867641449,0.0,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
